issuer_code,fund_name
0104G,한화 PLUS K방산레버리지증권상장지수투자신탁(주식-파생형)
0104H,삼성액티브 KoAct 미국나스닥채권혼합50액티브증권상장지수투자신탁[채권혼합]
0104N,미래에셋 TIGER 200타겟위클리커버드콜증권상장지수투자신탁(주식)
0104P,미래에셋 TIGER 코리아배당다우존스위클리커버드콜증권상장지수투자신탁(주식-파생형)
0105D,신한 SOL 한국AI소프트웨어증권상장지수투자신탁[주식]
0105E,신한 SOL 코리아고배당증권상장지수투자신탁[주식]
0107F,키움 KIWOOM 미국고배당&AI테크증권상장지수투자신탁[주식]
0111J,NH-Amundi HANARO 증권고배당TOP3플러스증권상장지수투자신탁[주식]
0111P,하나 1Q 미국나스닥100미국채혼합50액티브증권상장지수투자신탁(채권혼합)
0112X,DB 마이티 200 Total Return증권상장지수투자신탁[주식]
0113D,타임폴리오 TIME 글로벌탑픽액티브증권상장지수투자신탁(주식-재간접형)
0113G,삼성액티브 KoAct 미국바이오헬스케어액티브증권상장지수투자신탁[주식]
0113P,흥국 HK 머니마켓액티브증권상장지수투자신탁[채권]
0114X,KB RISE 글로벌게임테크TOP3Plus증권상장지수투자신탁(주식)
0115C,KB RISE 미국고배당다우존스TOP10증권상장지수투자신탁(주식)
0115D,삼성 KODEX 조선TOP10증권상장지수투자신탁[주식]
0115E,삼성 KODEX 코리아소버린AI증권상장지수투자신탁[주식]
0117L,삼성 KODEX 26-12 금융채(AA-이상)액티브증권상장지수투자신탁[채권]
0117V,미래에셋 TIGER 코리아AI전력기기TOP3플러스증권상장지수투자신탁(주식)
0118S,신한 SOL 미국넥스트테크TOP10액티브증권상장지수투자신탁[주식]
0118Z,한국투자 ACE 미국AI테크핵심산업액티브증권상장지수투자신탁(주식)
0119H,삼성 KODEX 28-12 회사채(AA-이상)액티브증권상장지수투자신탁[채권]
0120J,BNK BNK 카카오그룹포커스증권상장지수투자신탁(주식)
0122W,KB RISE 26-11 회사채(AA-이상)액티브증권상장지수투자신탁(채권)
0123G,미래에셋 TIGER 미국AI전력SMR증권상장지수투자신탁(주식)
0123S,NH-Amundi HANARO 26-12 은행채(AA+이상)액티브증권상장지수투자신탁(채권)
0127M,한국투자 ACE 미국대형가치주액티브증권상장지수투자신탁(주식)
0127P,한국투자 ACE 미국대형성장주액티브증권상장지수투자신탁(주식)
0127R,KB RISE 미국AI클라우드인프라증권상장지수투자신탁(주식)
0127T,키움 KIWOOM 미국S&P500&배당다우존스비중전환증권상장지수투자신탁[주식]
0127V,키움 KIWOOM 미국S&P500 TOP10&배당다우존스비중전환증권상장지수투자신탁[주식]
0128D,한화 PLUS 차이나항셍테크위클리타겟커버드콜증권상장지수투자신탁(주식-파생형)
0131A,신한 SOL 차이나소비트렌드증권상장지수투자신탁[주식]
0131V,하나 1Q 미국우주항공테크증권상장지수투자신탁(주식)
0131W,하나 1Q 단기특수은행채액티브증권상장지수투자신탁[채권]
0132D,삼성액티브 KoAct 글로벌K컬처밸류체인액티브증권상장지수투자신탁[주식]
0132H,삼성 KODEX 미국원자력SMR증권상장지수투자신탁[주식]
0132K,한화 PLUS 테슬라위클리커버드콜채권혼합증권상장지수투자신탁(채권혼합-파생형)
0133E,미래에셋 TIGER 차이나증권증권상장지수투자신탁(주식)
0135Y,IBK ITF 중기종합채권(AA-이상)액티브증권상장지수투자신탁[채권]
0137V,키움 KIWOOM 미국S&P500모멘텀증권상장지수투자신탁[주식]
0137W,키움 KIWOOM 미국S&P500&GOLD증권상장지수투자신탁[주식]
0138D,KB RISE 동학개미증권상장지수투자신탁(주식)
0138T,KB RISE 미국S&P500데일리고정커버드콜증권상장지수투자신탁(주식)
0138Y,한화 PLUS 금채권혼합증권상장지수투자신탁(채권혼합-재간접형)
0139F,미래에셋 TIGER 12월만기자동연장금융채(AA-이상)액티브증권상장지수투자신탁(채권)
0139P,한국투자 ACE 고배당주증권상장지수투자신탁(주식)
0141S,신한 SOL 조선기자재증권상장지수투자신탁[주식]
0141T,신한 SOL 중기종합채권(AA-이상)액티브증권상장지수투자신탁[채권]
0142D,미래에셋 TIGER 미국AI데이터센터TOP4Plus증권상장지수투자신탁(주식)
0144L,삼성 KODEX 미국성장커버드콜액티브증권상장지수투자신탁[주식-파생형]
0144M,삼성 KODEX 미국드론UAM TOP10증권상장지수투자신탁[주식]
0148J,미래에셋 TIGER 코리아휴머노이드로봇산업증권상장지수투자신탁(주식)
0150K,삼성액티브 KoAct 수소전력ESS인프라액티브증권상장지수투자신탁[주식]
0151P,KB RISE 코리아전략산업액티브증권상장지수투자신탁(주식)
0151S,삼성 KODEX 미국AI반도체TOP3플러스증권상장지수투자신탁[주식]
0152E,신한 SOL 배당성향탑픽액티브증권상장지수투자신탁[주식]
0153K,삼성 KODEX 주주환원고배당주증권상장지수투자신탁[주식]
0153P,한국투자 ACE 리츠부동산인프라액티브부동산상장지수투자신탁(재간접형)
0153X,한화 PLUS 미국고배당주액티브증권상장지수투자신탁(주식)
0154F,우리 WON 초대형IB&금융지주증권상장지수투자신탁(주식)
0154H,삼성액티브 KoAct 차이나바이오헬스케어액티브증권상장지수투자신탁[주식]
0155M,한국투자 ACE 미국SMR원자력TOP10증권상장지수투자신탁(주식)
0155N,NH-Amundi HANARO K휴머노이드테마TOP10증권상장지수투자신탁[주식]
0157P,NH-Amundi HANARO 차이나AI반도체TOP3+증권상장지수투자신탁(주식)
0162L,삼성 KODEX 차이나AI반도체TOP10증권상장지수투자신탁[주식]
0162M,삼성 KODEX 금융채1~2년(AA-이상)PLUS액티브증권상장지수투자신탁[채권]
0162Y,타임폴리오 TIME 코스닥액티브증권상장지수투자신탁[주식]
0162Z,KB RISE 삼성전자SK하이닉스채권혼합50증권상장지수투자신탁(채권혼합)
0163Y,삼성액티브 KoAct 코스닥액티브증권상장지수투자신탁[주식]
0164G,KB RISE 차이나AI반도체TOP4Plus증권상장지수투자신탁(주식)
0166N,한화 PLUS 코스닥150액티브증권상장지수투자신탁(주식)
0166S,한화 PLUS K제조업핵심기업액티브증권상장지수투자신탁(주식)
0166T,한화 PLUS 글로벌저작권핵심기업액티브증권상장지수투자신탁(주식)
0167A,신한 SOL AI반도체TOP2플러스증권상장지수투자신탁[주식]
0167B,신한 SOL 200타겟위클리커버드콜증권상장지수투자신탁[주식-파생형]
0167Z,삼성 KODEX 미국우주항공증권상장지수투자신탁[주식]
0168K,미래에셋 TIGER 기술이전바이오액티브증권상장지수투자신탁(주식)
0172V,하나 1Q 은액티브특별자산상장지수투자신탁[은-재간접형]
0172Y,한국투자 ACE K수출핵심TOP10산업액티브증권상장지수투자신탁(주식)
0173Y,삼성 KODEX 미국AI광통신네트워크증권상장지수투자신탁[주식]
0174B,삼성액티브 KoAct 글로벌AI메모리반도체액티브증권상장지수투자신탁[주식]
0174J,대신 DAISHIN343 오피스리츠플러스부동산상장지수투자신탁[재간접형]
0174R,키움 KIWOOM 미국성장다우존스증권상장지수투자신탁[주식]
0176E,KB RISE 미국AI전력인프라액티브증권상장지수투자신탁(주식)
0176P,브이아이 FOCUS AI반도체위클리고정커버드콜증권상장지수투자신탁[주식-파생형]
0177A,우리 WON 두산그룹포커스증권상장지수투자신탁(주식)
0177N,삼성 KODEX 삼성전자SK하이닉스채권혼합50증권상장지수투자신탁[채권혼합]
0177R,미래에셋 TIGER 반도체TOP10커버드콜액티브증권상장지수투자신탁(주식-파생형)
0177X,한국투자 ACE K휴머노이드로봇산업TOP2+증권상장지수투자신탁(주식)
0178H,IBK ITF 미국AI TOP10국채혼합50 증권상장지수투자신탁[채권혼합]
0180V,한국투자 ACE 미국우주테크액티브증권상장지수투자신탁(주식)
0181B,NH-Amundi HANARO 미국AI메모리반도체TOP4+증권상장지수투자신탁(주식)
0181L,신한 SOL 미국우주항공TOP10증권상장지수투자신탁[주식]
0182R,하나 1Q K반도체TOP2+증권상장지수투자신탁(주식)
0182S,하나 1Q K반도체TOP2채권혼합50증권상장지수투자신탁(채권혼합)
0183J,미래에셋 TIGER 미국우주테크증권상장지수투자신탁(주식)
0183V,키움 KIWOOM 삼성전자&SK하이닉스채권혼합50증권상장지수투자신탁[채권혼합]
0184E,하나 1Q 200채권혼합50액티브증권상장지수투자신탁(채권혼합)
0184L,한화 PLUS 중기종합채권(A-이상)액티브증권상장지수투자신탁(채권)
0184N,한화 PLUS 은채권혼합증권상장지수투자신탁(채권혼합-재간접형)
0184V,현대 UNICORN 코스닥바이오액티브 증권상장지수투자신탁[주식]
0185L,타임폴리오 TIME 글로벌휴머노이드로봇산업액티브증권상장지수투자신탁[주식]
0186L,삼성액티브 KoAct 미국로봇피지컬AI액티브증권상장지수투자신탁[주식]
0186S,하나 1Q 코스닥150채권혼합50액티브증권상장지수투자신탁(채권혼합)
0189B,미래에셋 TIGER 은액티브특별자산상장지수투자신탁(은-재간접형)
0189Z,대신 DAISHIN343 금융&지주고배당 증권상장지수투자신탁[주식]
0190C,KB RISE 현대차고정피지컬AI 증권상장지수투자신탁(주식)
0190G,삼성 KODEX 반도체타겟위클리커버드콜증권상장지수투자신탁[주식-파생형]
0190M,키움 KIWOOM 미국AI테크하이베타증권상장지수투자신탁[주식]
0190Y,미래에셋 TIGER 구글밸류체인증권상장지수투자신탁(주식)
0191B,마이다스 MIDAS 코스닥액티브증권상장지수투자신탁(주식)
0191M,DB마이티 5월만기자동연장특수채(AAA)액티브증권상장지수투자신탁[채권]
0191S,IBK IBK 코스닥150 증권상장지수투자신탁[주식]
0191W,NH-Amundi HANARO 중기종합채권(A-이상)액티브증권상장지수투자신탁(채권)
0192L,KB RISE SK하이닉스단일종목레버리지증권상장지수투자신탁(주식-파생형)
0192M,KB RISE 삼성전자단일종목레버리지증권상장지수투자신탁(주식-파생형)
0192S,신한 SOL 코스피200채권혼합50증권상장지수투자신탁[채권혼합]
0192T,신한 SOL 코스닥TOP10증권상장지수투자신탁[주식]
0192Z,미래에셋 TIGER 중기종합채권(A-이상)액티브증권상장지수투자신탁(채권형)
06950,삼성 KODEX 200증권상장지수투자신탁(주식)
06955,KOSPI 50 ETF상장지수투신
06960,코덱스 큐 상장지수투자신탁
06966,키움 KIWOOM 200 상장지수증권투자신탁[주식]
07235,코덱스 큐 상장지수투자신탁
07417,KODEX KODI 상장지수투자신탁
08663,삼성 KODEX KRX100 상장지수투자신탁
08680,KODEX스타 상장지수간접투자기구투자신탁
09116,삼성 KODEX 반도체증권상장지수투자신탁(주식)
09117,삼성 KODEX 은행증권상장지수투자신탁(주식)
09118,삼성 KODEX 자동차증권상장지수투자신탁(주식)
09119,우리 KOSEF Banks 상장지수증권투자신탁[주식]
09120,키움 KOSEF IT 상장지수증권투자신탁[주식]
09121,미래에셋 TIGER KRX100증권상장지수투자신탁(주식)
09122,미래에셋 TIGER 은행증권상장지수투자신탁(주식)
09123,미래에셋 TIGER 반도체증권상장지수투자신탁(주식)
09768,삼성 KODEX 중대형성장 상장지수투자신탁
09769,삼성 KODEX 중대형가치 상장지수투자신탁
09770,삼성 KODEX 중형가치 상장지수투자신탁
09771,미래에셋 TIGER 가치주증권상장지수투자신탁(주식)
09772,미래에셋 TIGER 미드캡증권상장지수투자신탁(주식)
09773,우리 KOSEF 대형가치 상장지수증권투자신탁[주식]
09774,우리 KOSEF 중형순수가치 상장지수증권투자신탁[주식]
09775,유리 TREX 중소형가치증권상장지수투자신탁(주식)
09856,미래에셋TIGER방송통신증권상장지수투자신탁(주식)
09914,삼성 KODEX 차이나H증권상장지수투자신탁[주식]
10091,키움 KIWOOM KRX100 상장지수증권투자신탁[주식]
10128,삼성 KODEX Japan증권상장지수투자신탁(주식)
10211,미래에셋 TIGER 200증권상장지수투자신탁(주식)
10278,삼성 KODEX 삼성그룹주증권상장지수투자신탁(주식)
10296,삼성 KODEX 기계장비증권상장지수투자신탁(주식)
10297,삼성 KODEX 증권주증권상장지수투자신탁(주식)
10452,키움 KIWOOM 블루칩 상장지수증권투자신탁[주식]
10453,키움 KIWOOM 코리아고배당상장지수증권투자신탁[주식]
10458,삼성 KODEX Brazil 증권상장지수투자신탁[주식]
10501,미래에셋 TIGER 라틴증권상장지수투자신탁(주식)
10502,미래에셋 TIGER 브릭스 증권상장지수투자신탁(주식)
10519,한국투자 ACE 200 증권 상장지수투자신탁(주식)
10527,한국투자 KINDEX 성장대형F15증권상장지수투자신탁(주식)
10545,삼성 KODEX 15 증권상장지수투자신탁[주식]
10578,KB RISE 5대그룹주증권상장지수투자신탁(주식)
10756,대신 GIANT 현대차그룹증권상장지수형 투자신탁(주식)
10844,한국투자 KINDEX 코스닥스타증권상장지수투자신탁(주식)
10845,한국투자 ACE 삼성그룹주SW 증권 상장지수투자신탁(주식)
10848,KB KBSTAR 코스닥엘리트30증권상장지수투자신탁(주식)
10859,유리 TREX 200증권상장지수투자신탁(주식)
10863,동양 FIRST 스타우량상장지수증권투자신탁(주식)
11055,현대Hit골드특별자산상장지수투자신탁(금-재간접형)
11410,KB RISE 국고채3년증권상장지수투자신탁(채권)
11426,삼성 KODEX 국고채권증권상장지수투자신탁(채권)
11446,한국투자 ACE 국고채 증권 상장지수투자신탁(채권)
11447,키움 KIWOOM 국고채상장지수증권투자신탁[채권]
11480,삼성 KODEX 인버스증권상장지수투자신탁(주식-파생형)
11482,미래에셋 TIGER 국채3증권상장지수투자신탁(채권)
11746,삼성 KODEX 에너지화학증권상장지수투자신탁[주식]
11768,삼성 KODEX 철강증권상장지수투자신탁(주식)
11769,미래에셋 TIGER 차이나증권상장지수투자신탁(주식)
11770,삼성 KODEX 건설증권상장지수투자신탁(주식)
11774,한화 ARIRANG LG그룹& 증권상장지수투자신탁(주식)
12021,KTB GREAT SRI증권상장지수투자신탁(주식)
12209,한화 PLUS 코스피50증권상장지수투자신탁(주식)
12226,키움 KIWOOM 통안채상장지수증권투자신탁[채권]
12239,미래에셋 TIGER 코스닥프리미어증권상장지수투자신탁(주식)
12263,삼성 KODEX 레버리지증권상장지수투자신탁(주식-파생형)
12331,미래에셋 TIGER 인버스증권상장지수투자신탁(주식-파생형)
12332,미래에셋 TIGER 레버리지증권상장지수투자신탁(주식-파생형)
12376,KB KBSTAR 레버리지증권상장지수투자신탁(주식-파생재간접형)
12393,우리 KOSEF 인버스 증권상장지수투자신탁[주식-파생형]
12409,현대Hit보험증권상장지수투자신탁(주식)
12927,한화 ARIRANG 네오밸류 증권상장지수투자신탁(주식)
13068,미래에셋 TIGER 원유선물특별자산상장지수투자신탁(원유-파생형)
13073,키움 KIWOOM 단기자금증권상장지수투자신탁[채권]
13189,한국투자 ACE 삼성그룹주 동일가중 증권 상장지수투자신탁(주식)
13203,삼성 KODEX 골드선물특별자산상장지수투자신탁(금-파생형)(H)
13369,미래에셋 TIGER 미국나스닥100증권상장지수투자신탁(주식)
13403,현대Hit중소금융xB증권상장지수투자신탁(주식)
13628,삼성 KODEX 소비재증권상장지수투자신탁(주식)
13634,KB RISE 중기우량회사채증권상장지수투자신탁(채권)
13761,미래에셋 TIGER 농산물선물특별자산상장지수투자신탁(농산물-파생형)
13793,마이다스 코스피200커버드콜5%OTM증권상장지수투자신탁(주식)
13799,미래에셋 TIGER 그린증권상장지수투자신탁(주식)
13821,KTB GREAT GREEN증권상장지수투자신탁[주식]
13823,키움 KIWOOM 미국달러선물특별자산상장지수투자신탁[미국달러-파생형]
13838,KTB GREAT WTI선물환헷지특별자산상장지수투자신탁[원유-파생형]
13852,미래에셋 TIGER 삼성그룹증권상장지수투자신탁(주식)
13853,미래에셋 TIGER LG그룹+증권상장지수투자신탁(주식)
13854,미래에셋 TIGER 현대차그룹+증권상장지수투자신탁(주식)
13891,삼성 KODEX 구리선물특별자산상장지수투자신탁(구리-파생형)(H)
13892,삼성 KODEX 콩선물특별자산상장지수투자신탁(콩-파생형)(H)
13922,미래에셋 TIGER 200건설증권상장지수투자신탁(주식)
13923,미래에셋 TIGER 200중공업증권상장지수투자신탁(주식)
13924,미래에셋 TIGER 200철강소재증권상장지수투자신탁(주식)
13925,미래에셋 TIGER 200에너지화학증권상장지수투자신탁(주식)
13926,미래에셋 TIGER 200IT증권상장지수투자신탁(주식)
13927,미래에셋 TIGER 200금융증권상장지수투자신탁(주식)
13928,미래에셋 TIGER 경기방어증권상장지수투자신탁(주식)
13929,미래에셋 TIGER 200경기소비재증권상장지수투자신탁(주식)
13930,미래에셋 TIGER 블루칩30 증권상장지수투자신탁(주식)
13931,미래에셋 TIGER 금속선물특별자산상장지수투자신탁(금속-파생형)
13932,미래에셋 TIGER 금은선물특별자산상장지수투자신탁(금속-파생형)
13966,키움 KIWOOM 미국달러선물인버스특별자산상장지수투자신탁[미국달러-파생형]
14057,KB RISE 수출주증권상장지수투자신탁(주식)
14058,KB RISE 우량업종대표주증권상장지수투자신탁(주식)
14070,삼성 KODEX 보험증권상장지수투자신탁(주식)
14071,삼성 KODEX 운송증권상장지수투자신탁(주식)
14095,교보악사 파워 K100증권상장지수투자신탁(주식)
14124,한화 ARIRANG KOSPI100동일비중증권상장지수투자신탁(주식)
14125,한화 ARIRANG KRX100 동일비중 증권상장지수투자신탁(주식)
14346,한국투자 ACE 밸류대형 증권 상장지수투자신탁(주식)
